POSTNR;KODELAND;IDENTPRODUKT;ENHNR;KODELOGSTROM;DATOFRA;DATOTIL
9514;NO;1020;107499;2;08.jan.18;
9624;NO;1020;107499;2;08.jan.18;
9515;NO;1020;107499;2;08.jan.18;
9650;NO;1020;107499;2;08.jan.18;
9651;NO;1020;107499;2;08.jan.18;
9516;NO;1020;107499;2;08.jan.18;
9657;NO;1020;107499;2;08.jan.18;
9517;NO;1020;107499;2;08.jan.18;
9664;NO;1020;107499;2;08.jan.18;
9670;NO;1020;107499;2;08.jan.18;
9672;NO;1020;107499;2;08.jan.18;
9690;NO;1020;107499;2;08.jan.18;
9692;NO;1020;107499;2;08.jan.18;
9700;NO;1020;107499;2;08.jan.18;
